Type,Price/m,Bedrooms,Location,Area,URL
Flat,K4500,1,,Lusaka | chalala,https://sakilahomes.com/post/2678/1-bedroom--chalala--k4500/
house,K10000,3,,Lusaka | chamba valley,https://sakilahomes.com/post/2680/3-bedroom--meanwood-chamba-valley--k10000/
house,K7000,3,,Lusaka | meanwood,https://sakilahomes.com/post/2681/3-bedroom--meanwood-kwamwena--k7000/
house,K5500,3,,Lusaka | libala-south,https://sakilahomes.com/post/2682/3-bedroom--libala-south--k5500/
Flat,K5500,2,,Lusaka | chalala,https://sakilahomes.com/post/2683/2-bedroom--chalala--k5500/
house,K9000,2,,Lusaka | meanwood,https://sakilahomes.com/post/2684/2-bedroom--ibex-meanwood--k9000/
Flat,K7000,2,,Lusaka | chalala,https://sakilahomes.com/post/2685/2-bedroom-chalala-k7000/
house,K6000,3,,Lusaka | Cheston,https://sakilahomes.com/post/2686/3-bedroom-chelston-k6000/
Flat,K4000,1,,Lusaka | makeni,https://sakilahomes.com/post/2687/1-bedroom-makeni--k4000/
Flat,K5000,2,,Lusaka | waterfall,https://sakilahomes.com/post/2621/2-bedroom-waterfalls--k-5000/
Flat,K7000,3,,Lusaka | roma,https://sakilahomes.com/post/2622/3-bedroom-roma--k7000/
Flat,K7500,2,,Lusaka | new kasama,https://sakilahomes.com/post/2623/2-bedroom--new-kasama--k7500/
Flat,K5500,2,,Lusaka | foxdale,https://sakilahomes.com/post/2624/2-bedroom-foxdale-k5500/
house,K8500,4,,Lusaka | foxdale,https://sakilahomes.com/post/2625/4-bedroom-foxdale-k8500/
Flat,K10000,3,,Lusaka | makeni,https://sakilahomes.com/post/2626/3-bedroom-makeni--k10000/
Flat,K4500,2,,Lusaka | meanwood,https://sakilahomes.com/post/2627/2-bedroom-meanwood-airport-k4500/
Flat,K5000,2,,Lusaka | chalala,https://sakilahomes.com/post/2628/2-bedroom-chalala--k5000/
inside_room,K1500,1,,Lusaka | kaunda_square,https://sakilahomes.com/post/2629/inside-room--kaunda-square-k1500/
Flat,K9000,2,,Lusaka | ibex hill,https://sakilahomes.com/post/2630/2-bedroom--ibex-hill--k-9000/
inside_room,K1200,1,,Lusaka | chalala,https://sakilahomes.com/post/2631/inside-room--chalala--k1200/
Flat,K5500,2,,Lusaka | chalala,https://sakilahomes.com/post/2632/2-bedroom-chalala--k5500/
bedsitter,K2000,1,,Lusaka | chalala,https://sakilahomes.com/post/2633/bedsitter--chalala-k2000/
Flat,K6000,2,,Lusaka | new kasama,https://sakilahomes.com/post/2634/2-bedroom--new-kasama--k6000/
Flat,K7000,2,,Lusaka | salama park,https://sakilahomes.com/post/2635/2-bedroom--salama-k7000/
Flat,K5500,2,,Lusaka | chalala,https://sakilahomes.com/post/2636/2-bedroom--chalala--k5500/
Flat,K6000,2,,Lusaka | meanwood,https://sakilahomes.com/post/2570/2-bedroom--meanwood-vorna-valley-k6000/
bedsitter,K2800,1,,Lusaka | foxdale,https://sakilahomes.com/post/2571/bedsitter--foxdale-k2800/
Flat,K9000,3,,Lusaka | ibex hill,https://sakilahomes.com/post/2572/3-bedroom-ibex-hill--k9000/
Flat,K8500,3,,Lusaka | salama park,https://sakilahomes.com/post/2573/3-bedroom--salama-park--k8500/
Flat,K6000,2,,Lusaka | makeni,https://sakilahomes.com/post/2574/2-bedroom-makeni-k6000/
bedsitter,K2300,1,,Lusaka | foxdale,https://sakilahomes.com/post/2575/bedsitter--foxdale-k2300/
house,K10000,3,,Lusaka | meanwood,https://sakilahomes.com/post/2576/3-bedroom--meanwood-ibex--k10000/
house,K3800,2,,Lusaka | lilayi,https://sakilahomes.com/post/2577/2-bedroom--lilayi-k3800/
bedsitter,K2700,1,,Lusaka | libala,https://sakilahomes.com/post/2578/bedsitter--libala-k2700/
Flat,K9000,3,,Lusaka | ibex hill,https://sakilahomes.com/post/2579/3-bedroom--ibex-hill--k9000/
inside_room,K1700,1,,Lusaka | libala,https://sakilahomes.com/post/2580/inside-room--libala--k1700/
Flat,K4300,2,,Lusaka | chalala,https://sakilahomes.com/post/2581/2-bedroom--chalala--k4300/
